Date,U.S. Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Imports (Dollars per Thousand Cubic Feet),U.S. Natural Gas Pipeline Imports Price (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas LNG Imports (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Pipeline Exports (Dollars per Thousand Cubic Feet),Price of Liquefied U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet),U.S. Natural Gas Citygate Price (Dollars per Thousand Cubic Feet),U.S. Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),U.S. Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),United States Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),U.S. Natural Gas Electric Power Price (Dollars per Thousand Cubic Feet),U.S. Natural Gas Gross Withdrawals (MMcf),U.S. Natural Gas Gross Withdrawals from Gas Wells (MMcf),U.S. Natural Gas Gross Withdrawals from Oil Wells (MMcf),U.S. Natural Gas Gross Withdrawals from Shale Gas (Million Cubic Feet),U.S. Natural Gas Gross Withdrawals from Coalbed Wells (MMcf),U.S. Natural Gas Repressuring (MMcf),U.S. Nonhydrocarbon Gases Removed from Natural Gas (MMcf),U.S. Natural Gas Vented and Flared (MMcf),U.S. Natural Gas Marketed Production (MMcf),U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),U.S. Dry Natural Gas Production (MMcf),U.S. Natural Gas Imports (MMcf),U.S. Natural Gas Pipeline Imports (MMcf),U.S. Liquefied Natural Gas Imports (MMcf),U.S. Natural Gas Exports (MMcf),U.S. Natural Gas Pipeline Exports (MMcf),Liquefied U.S. Natural Gas Exports (MMcf),U.S. Total Natural Gas Underground Storage Capacity (MMcf),U.S. Natural Gas Underground Storage Volume (MMcf),U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),U.S. Total Natural Gas in Underground Storage (Working Gas) (MMcf),U.S. Total Natural Gas Injections into Underground Storage (MMcf),U.S. Natural  Gas Underground Storage Withdrawals (MMcf),U.S. Natural Gas Underground Storage Net Withdrawals (MMcf),U.S. Natural Gas Total Consumption (MMcf),U.S. Natural Gas Lease and Plant Fuel Consumption (MMcf),U.S. Natural Gas Pipeline & Distribution Use (MMcf),Natural Gas Delivered to Consumers in the U.S. (MMcf),U.S. Natural Gas Residential Consumption (MMcf),Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in the U.S. (MMcf),U.S. Natural Gas Industrial Consumption (MMcf),U.S. Natural Gas Vehicle Fuel Consumption (MMcf),U.S. Natural Gas Deliveries to Electric Power Consumers (MMcf)
May-85,2.53,,,,,,,3.89,6.59,5.59,,,1585096,,,,,161017,26958,8066,1389055,66191,,73439,,,1642,,,,5966000,3837000,2129000,294000,23000,-272000,,77923,,,212164,127540,,,
Jun-85,2.58,,,,,,,3.86,6.96,5.65,,,1526158,,,,,154016,22965,8066,1341112,63184,,65422,,,4578,,,,6190000,3839000,2351000,252000,31000,-221000,,74926,,,156549,99871,,,
Jul-85,2.51,,,,,,,3.69,7.07,5.44,,,1570088,,,,,161017,26958,8066,1374047,65189,,59497,,,6053,,,,6454000,3849000,2605000,309000,45000,-263000,,76924,,,129851,95738,,,
Aug-85,2.47,,,,,,,3.7,7.21,5.42,,,1559116,,,,,153016,26958,8066,1371076,65188,,60519,,,4585,,,,6681000,3849000,2832000,278000,50000,-228000,,76924,,,118932,93478,,,
Sep-85,2.42,,,,,,,3.68,7.06,5.37,,,1536110,,,,,159016,24962,8066,1344066,64185,,63268,,,4562,,,,6930000,3849000,3081000,272000,20000,-253000,,74926,,,129314,98139,,,
Oct-85,2.37,,,,,,,3.59,6.5,5.3,,,1594820,,,,,160016,26958,8066,1399778,66192,,75802,,,4590,,,,7055000,3851000,3204000,199000,71000,-128000,,77923,,,189799,124697,,,
Nov-85,2.36,,,,,,,3.46,6.13,5.39,,,1605066,,,,,164017,28955,8066,1404027,66193,,77078,,,4651,,,,6933000,3847000,3086000,99000,202000,103000,,78922,,,306427,179784,,,
Dec-85,2.28,,,,,,,3.45,5.7,5.25,,,1832894,,,,,173018,31951,8066,1619859,75222,,106233,,,4644,,,,6448000,3842000,2607000,44000,529000,485000,,90910,,,646863,333279,,,
Jan-86,2.28,,,,,,,3.52,5.63,5.25,,,1822072,,,,,162960,29248,8966,1620898,76389,,99415,,,4674,,,,6055000,3842000,2213000,48000,414000,366000,,88954,,,790569,391955,,,
Feb-86,2.26,,,,,,,3.52,5.67,5.28,,,1590678,,,,,149963,26222,7970,1406522,67470,,74182,,,3174,,,,5714000,3842000,1872000,54000,369000,315000,,76960,,,684541,344992,,,
Mar-86,2.16,,,,,,,3.5,5.71,5.25,,,1697033,,,,,166959,29248,7970,1492857,71437,,54684,,,5297,,,,5602000,3838000,1764000,109000,213000,104000,,81958,,,579901,291178,,,
Apr-86,2.1,,,,,,,3.33,5.89,5.23,,,1532501,,,,,154962,28239,7970,1341330,64494,,42512,,,5826,,,,5675000,3834000,1841000,140000,73000,-67000,,72962,,,363277,189136,,,
May-86,1.96,,,,,,,3.15,6.18,5.19,,,1559058,,,,,157961,26222,7970,1366904,65485,,52179,,,3017,,,,5906000,3830000,2076000,255000,42000,-213000,,74961,,,236207,130876,,,
Jun-86,1.85,,,,,,,3.11,6.67,5.09,,,1488517,,,,,144965,28239,7970,1307343,62507,,44427,,,5980,,,,6152000,3829000,2323000,255000,24000,-231000,,70963,,,154889,98627,,,
Jul-86,1.8,,,,,,,3.08,6.84,5.02,,,1530478,,,,,144965,28239,7970,1349304,64491,,48382,,,5650,,,,6411000,3841000,2570000,274000,29000,-245000,,73962,,,126494,88824,,,
Aug-86,1.77,,,,,,,3.04,6.94,4.9,,,1531488,,,,,141965,29248,7970,1352305,67490,,50580,,,6125,,,,6682000,3840000,2842000,279000,26000,-253000,,73962,,,117487,88740,,,
Sep-86,1.78,,,,,,,3.02,6.83,4.93,,,1449958,,,,,132968,25213,6974,1284803,62516,,54479,,,4553,,,,6906000,3840000,3066000,239000,25000,-215000,,69964,,,130597,90880,,,
Oct-86,1.73,,,,,,,2.94,6.38,4.88,,,1549075,,,,,156962,25213,7970,1358930,64488,,68628,,,5453,,,,7048000,3840000,3208000,189000,48000,-141000,,73962,,,185265,115656,,,
Nov-86,1.77,,,,,,,2.9,5.66,4.74,,,1635610,,,,,161961,29248,8966,1435435,62459,,70483,,,5985,,,,6897000,3820000,3077000,74000,197000,123000,,78959,,,345659,188912,,,
Dec-86,1.76,,,,,,,2.99,5.28,4.73,,,1744243,,,,,160961,32273,8966,1542043,70419,,90497,,,5537,,,,6567000,3819000,2749000,36000,352000,316000,,84956,,,599085,298559,,,
Jan-87,1.74,,,,,,,2.98,5.3,4.8,,,1830364,,,,,171043,34094,12866,1612362,73751,,100779,,,5119,,,,6098000,3818000,2280000,38000,513000,475000,,107628,,,741338,384495,,,
Feb-87,1.73,,,,,,,3.03,5.34,4.79,,,1648472,,,,,158040,32088,8907,1449437,66777,,83911,,,3431,,,,5803000,3815000,1988000,35000,320000,285000,,96459,,,688699,363047,,,
Mar-87,1.73,,,,,,,2.91,5.36,4.8,,,1745201,,,,,171043,34094,9897,1530167,69764,,85778,,,4619,,,,5692000,3813000,1879000,105000,210000,105000,,101536,,,575299,304877,,,
Apr-87,1.69,,,,,,,2.86,5.46,4.9,,,1646758,,,,,179045,30083,9897,1427734,66781,,68486,,,3153,,,,5750000,3812000,1938000,163000,101000,-62000,,95443,,,401848,214317,,,
May-87,1.65,,,,,,,2.81,5.98,4.88,,,1641199,,,,,190048,30083,9897,1411172,65783,,61422,,,3120,,,,6017000,3811000,2206000,293000,28000,-265000,,94428,,,222779,133011,,,
Jun-87,1.65,,,,,,,2.84,6.55,4.87,,,1575395,,,,,186047,29080,8907,1351361,62792,,57709,,,4570,,,,6247000,3810000,2437000,248000,21000,-227000,,90367,,,146812,97398,,,
Jul-87,1.66,,,,,,,2.92,6.78,4.78,,,1592419,,,,,183046,26072,11876,1371426,64790,,66211,,,4557,,,,6449000,3813000,2636000,226000,27000,-199000,,92397,,,125625,93805,,,
Aug-87,1.63,,,,,,,2.89,6.84,4.77,,,1617677,,,,,179045,32088,10886,1395657,65786,,74702,,,4557,,,,6649000,3813000,2836000,241000,43000,-198000,,94428,,,117471,90264,,,
Sep-87,1.56,,,,,,,2.83,6.64,4.6,,,1546332,,,,,177045,28077,9897,1331313,62796,,72837,,,4554,,,,6862000,3813000,3049000,227000,19000,-209000,,90367,,,126348,100591,,,
Oct-87,1.57,,,,,,,2.69,5.85,4.62,,,1691308,,,,,200051,35096,9897,1446264,66777,,93094,,,5233,,,,6919000,3813000,3106000,146000,86000,-60000,,95443,,,222825,141124,,,
Nov-87,1.64,,,,,,,2.76,5.42,4.66,,,1730252,,,,,201051,30083,8907,1490212,69771,,107092,,,6432,,,,6851000,3792000,3059000,105000,153000,48000,,100520,,,354076,202137,,,
Dec-87,1.7,,,,,,,2.84,5.13,4.67,,,1874822,,,,,212054,35096,11876,1615796,76752,,120510,,,4674,,,,6548000,3792000,2756000,59000,359000,300000,,90367,,,591715,304998,,,
Jan-88,1.96,,,,,,,2.91,5.08,4.6,,,1931603,,,,,216033,39990,11877,1663703,75893,,137865,,,4765,,,,6020000,3792000,2228000,47000,578000,531000,,101989,,,852076,424341,,,
Feb-88,1.84,,,,,,,2.95,5.09,4.69,,,1758595,,,,,196030,35991,11877,1514696,68902,,116223,,,4650,,,,5618000,3791000,1827000,50000,456000,406000,,92990,,,754526,391828,,,
Mar-88,1.7,,,,,,,2.87,5.18,4.69,,,1833049,,,,,201031,39990,11877,1580151,71898,,111816,,,6218,,,,5472000,3790000,1682000,99000,255000,156000,,96990,,,596846,320198,,,
Apr-88,1.59,,,,,,,2.79,5.35,4.71,,,1690503,,,,,193030,38990,11877,1446606,65907,,94722,,,6354,,,,5559000,3790000,1769000,162000,92000,-71000,,87991,,,400177,223056,,,
May-88,1.52,,,,,,,2.75,5.87,4.61,,,1730340,,,,,204031,32992,11877,1481440,67904,,93370,,,3777,,,,5817000,3790000,2027000,282000,46000,-236000,,90990,,,257781,157765,,,
Jun-88,1.53,,,,,,,2.87,6.5,4.53,,,1660533,,,,,202031,38990,11877,1407635,63909,,93165,,,8469,,,,6085000,3792000,2293000,274000,36000,-238000,,85991,,,152204,117552,,,
Jul-88,1.56,,,,,,,2.87,6.74,4.48,,,1680284,,,,,204031,36991,12867,1426395,64908,,99844,,,4892,,,,6360000,3793000,2567000,294000,42000,-252000,,86991,,,122908,109305,,,
Aug-88,1.62,,,,,,,2.92,6.92,4.37,,,1697417,,,,,203031,35991,11877,1446517,65907,,95434,,,6008,,,,6626000,3791000,2835000,282000,52000,-230000,,87991,,,114411,113303,,,
Sep-88,1.53,,,,,,,3.05,6.79,4.41,,,1614511,,,,,200031,37990,11877,1364613,61912,,95861,,,7187,,,,6911000,3791000,3120000,308000,46000,-262000,,82991,,,124739,112517,,,
Oct-88,1.68,,,,,,,2.92,5.95,4.53,,,1753272,,,,,217033,41989,11877,1482372,66904,,106884,,,5497,,,,7035000,3792000,3243000,198000,92000,-105000,,90990,,,232157,155784,,,
Nov-88,1.76,,,,,,,2.98,5.56,4.69,,,1777887,,,,,217033,37990,11877,1510986,68903,,120685,,,6771,,,,6974000,3803000,3171000,117000,157000,40000,,91990,,,391420,224664,,,
Dec-88,1.89,,,,,,,3.08,5.39,4.78,,,1871261,,,,,225035,41989,10887,1593349,72897,,127943,,,9050,,,,6650000,3800000,2850000,62000,391000,329000,,97990,,,631086,320153,,,
Jan-89,1.99,1.72,,,2.69,,,3.17,5.41,4.81,,,1871079,,,,,219016,34137,10896,1607030,69956,,119269,,,6722,,,8119368,6307000,3798000,2509000,53000,418000,365000,,94991,,,751166,375898,,,
Feb-89,1.81,1.88,,,2.4,,,3.1,5.38,4.8,,,1717410,,,,,193014,29117,10896,1484383,63959,,110218,,,7253,,,8119368,5795000,3801000,1994000,32000,602000,570000,,87992,,,743050,379810,,,
Mar-89,1.69,1.81,,,2.4,,,2.89,5.45,4.79,,,1814437,,,,,197014,31125,12877,1573421,67957,,113196,,,11127,,,8119368,5577000,3801000,1776000,106000,362000,256000,,92991,,,645859,341517,,,
Apr-89,1.56,1.73,,,2.33,,,2.83,5.54,4.77,,,1742633,,,,,203015,29117,11886,1498615,64959,,110335,,,11137,,,8119368,5624000,3801000,1823000,180000,138000,-42000,,87992,,,414487,233397,,,
May-89,1.61,1.76,,,2.44,,,2.94,5.93,4.64,,,1775667,,,,,214015,31125,11886,1518640,65958,,107980,,,8030,,,8119368,5864000,3802000,2062000,321000,44000,-277000,,88992,,,256551,158788,,,
Jun-89,1.65,1.81,,,2.57,,,2.98,6.58,4.57,,,1688471,,,,,192014,28113,11886,1456458,62960,,103706,,,8943,,,8119368,6176000,3802000,2374000,374000,20000,-354000,,85992,,,155449,120834,,,
Jul-89,1.65,1.75,,,2.54,,,3.08,6.92,4.65,,,1725453,,,,,199014,30121,11886,1484431,63959,,101486,,,8681,,,8120142,6446000,3802000,2644000,371000,29000,-341000,,87992,,,128662,110171,,,
Aug-89,1.61,1.77,,,2.48,,,3.04,7.07,4.61,,,1720256,,,,,207015,28113,11886,1473242,62960,,107770,,,9148,,,8120142,6740000,3802000,2938000,356000,29000,-328000,,86992,,,121009,110208,,,
Sep-89,1.55,1.77,,,2.41,,,2.99,6.8,4.67,,,1649263,,,,,207015,28113,11886,1402249,59962,,116763,,,8998,,,8120142,6989000,3802000,3187000,320000,39000,-281000,,81992,,,139486,113108,,,
Oct-89,1.58,1.78,,,2.56,,,2.84,6.06,4.61,,,1724142,,,,,211015,29117,11886,1472124,63959,,122663,,,10453,,,8105621,7060000,3792000,3268000,221000,96000,-124000,,86992,,,228672,152020,,,
Nov-89,1.66,1.91,,,2.71,,,2.98,5.56,4.71,,,1789778,,,,,214015,31125,11886,1532751,65958,,123159,,,7909,,,8120142,7008000,3809000,3199000,105000,223000,118000,,89992,,,405314,231274,,,
Dec-89,1.92,1.99,,,2.79,,,3.1,5.3,4.81,,,1855838,,,,,219016,33133,11886,1591803,71954,,144973,,,8471,,,8120142,6325000,3812000,2513000,52000,805000,752000,,96991,,,790934,390699,,,
Jan-90,2.23,2.12,,,3.11,,,3.24,5.43,4.97,,,1938977,,,,,210844,25128,14600,1688405,71222,,140176,,,13694,,,7917074,6088000,3818000,2270000,93000,342000,249000,,111693,,,788596,400003,,,
Feb-90,1.85,2.1,,,2.94,,,3.1,5.65,5.05,,,1719684,,,,,183172,22161,10225,1504126,63446,,117576,,,7641,,,7917074,5818000,3814000,2004000,70000,332000,262000,,99214,,,642665,335911,,,
Mar-90,1.55,1.99,,,2.42,,,2.94,5.6,4.92,,,1841822,,,,,211045,23782,11439,1595556,67309,,115979,,,11333,,,7917074,5693000,3818000,1875000,125000,258000,133000,,105906,,,551987,302022,,,
Apr-90,1.49,1.82,,,2.95,,,2.83,5.64,4.82,,,1752771,,,,,205542,23776,11096,1512357,63584,,123360,,,6155,,,7917074,5785000,3839000,1946000,188000,138000,-50000,,100651,,,399624,236272,,,
May-90,1.47,1.79,,,2.51,,,2.81,6,4.63,,,1781076,,,,,212850,25630,13027,1529569,64522,,122917,,,5906,,,7917074,6003000,3823000,2180000,293000,43000,-250000,,102105,,,248272,157645,,,
Jun-90,1.48,1.79,,,2.75,,,3,6.56,4.56,,,1712084,,,,,191307,24077,9336,1487364,62741,,117009,,,6209,,,7917074,6329000,3844000,2485000,324000,40000,-284000,,98543,,,160823,124086,,,
Jul-90,1.49,1.83,,,2.95,,,3.03,7.04,4.45,,,1757476,,,,,207000,25534,12503,1512439,63793,,119686,,,4569,,,7917074,6641000,3850000,2791000,326000,26000,-300000,,100824,,,126501,123219,,,
Aug-90,1.51,1.78,,,2.79,,,2.91,7.08,4.55,,,1764953,,,,,207319,25201,14187,1518246,64038,,118485,,,4536,,,7917074,6922000,3851000,3071000,318000,39000,-279000,,101239,,,121276,115333,,,
Sep-90,1.56,1.8,,,2.82,,,2.92,6.9,4.55,,,1690802,,,,,199390,24139,12921,1454351,61352,,119523,,,6597,,,7917074,7173000,3852000,3321000,284000,35000,-249000,,96983,,,132115,121352,,,
Oct-90,1.76,1.84,,,2.71,,,2.81,6.14,4.66,,,1841740,,,,,223918,22953,13328,1581541,66714,,141974,,,6275,,,7917074,7319000,3852000,3467000,209000,63000,-146000,,105580,,,213538,151052,,,
Nov-90,1.94,2.12,,,2.74,,,3.14,5.69,4.81,,,1825816,,,,,211171,22677,13288,1578680,66590,,139691,,,5897,,,7917074,7340000,3868000,3472000,134000,145000,11000,,104916,,,375652,223632,,,
Dec-90,2.04,2.13,,,4.23,,,3.19,5.62,4.92,,,1895421,,,,,225482,24316,14465,1631158,68807,,155884,,,6753,,,7917074,6936000,3868000,3068000,69000,473000,404000,,108738,,,630275,332196,,,
Jan-91,1.96,2.11,,,3.61,,,3.08,5.54,4.94,,,1956947,1482053,475614,,,234854,22854,11200,1685587,75926,,163448,,,9562,,,7917074,6272921,3910940,2361980,114877,659536,544659,,102082,,,843832,433714,,,
Feb-91,1.62,1.92,,,3.08,,,2.94,5.56,4.94,,,1737959,,,,,220881,22134,11517,1483427,66808,,137998,,,10566,,,7917074,5971677,3908322,2063355,112436,397274,284838,,90299,,,664218,358854,,,
Mar-91,1.49,1.86,,,2.76,,,2.78,5.6,4.89,,,1889228,,,,,245029,24092,13235,1606874,72368,,151487,,,10001,,,7917074,5806287,3894578,1911709,128809,290550,161742,,98018,,,573093,310496,,,
Apr-91,1.5,1.79,,,2.87,,,2.74,5.9,4.87,,,1799742,,,,,233661,21149,13665,1531264,68963,,143955,,,9039,,,7917074,5934568,3897926,2036642,228477,104133,-124345,,93388,,,372922,225466,,,
May-91,1.48,1.74,,,2.14,,,2.76,6.28,4.65,,,1786338,,,,,226951,22586,14992,1521809,68537,,141292,,,7744,,,7917074,6203826,3931016,2272809,319065,58377,-260688,,92740,,,228742,153549,,,
Jun-91,1.43,1.72,,,2.19,,,2.86,6.97,4.8,,,1712514,,,,,226411,21622,13935,1450544,65327,,133264,,,6706,,,7917074,6492087,3939178,2552910,313742,41690,-272052,,88701,,,147839,118635,,,
Jul-91,1.34,1.68,,,2.36,,,2.74,7.23,4.5,,,1740174,,,,,236454,23217,15545,1464959,65977,,134859,,,7830,,,7917074,6713498,3942418,2771080,289514,75293,-214221,,89912,,,126156,125161,,,
Aug-91,1.43,1.6,,,2.53,,,2.78,7.36,4.73,,,1740663,,,,,231056,23470,15281,1470857,66242,,127139,,,9526,,,7917074,6927078,3948585,2978493,281624,81761,-199864,,90072,,,117851,112561,,,
Sep-91,1.59,1.67,,,2.32,,,2.91,6.92,4.57,,,1715762,,,,,213928,23831,14027,1463974,65932,,133934,,,10737,,,7917074,7150883,3949504,3201378,293988,77602,-216387,,89133,,,137994,121019,,,
Oct-91,1.82,1.8,,,2.27,,,2.92,6.2,4.58,,,1863592,1363737,500196,,,244944,23220,15033,1580397,71176,,156635,,,14393,,,7917074,7330028,3961212,3368816,251020,103112,-147908,,96573,,,225108,163164,,,
Nov-91,1.89,1.91,,,2.41,,,2.92,5.51,4.71,,,1864008,,,,,225981,23189,15082,1599756,72047,,168718,,,15105,,,7917074,7099578,3951723,3147855,150251,351841,201590,,97063,,,459455,255612,,,
Dec-91,2,1.98,,,2.58,,,3.05,5.51,4.84,,,1942461,,,,,231265,23808,14686,1672701,75333,,180585,,,18036,,,7917074,6777679,3954138,2823542,124570,447561,322991,,101287,,,658449,350349,,,
Jan-92,1.74,1.98,,,2.3,,,2.9,5.53,4.85,,,1952053,,,,,250689,24048,14205,1663111,77495,,164636,,,16432,,,7993265,6276887,4061231,2215656,67560,591331,523770,,103579,,,785718,410424,,,
Feb-92,1.26,1.68,,,1.98,,,2.7,5.54,5.03,,,1747923,,,,,246656,21878,12656,1466733,68345,,175243,,,13986,,,7896252,5894426,4056937,1837489,52259,441117,388858,,92195,,,696082,365815,,,
Mar-92,1.35,1.65,,,2.03,,,2.61,5.5,4.77,,,1837330,,,,,254267,22192,13584,1547288,72098,,180482,,,22511,,,7896252,5591063,4046437,1544626,80919,381489,300570,,97047,,,573979,314629,,,
Apr-92,1.42,1.63,,,1.88,,,2.74,5.62,4.77,,,1801298,,,,,246413,23886,12893,1518106,70738,,176146,,,17754,,,7896252,5610974,4037820,1573153,167382,149854,-17528,,95172,,,431401,250136,,,
May-92,1.51,1.66,,,2.12,,,2.9,6.15,4.59,,,1841543,,,,,248402,23904,12085,1557151,72558,,174312,,,19030,,,7896252,5892327,4044180,1848147,329676,52549,-277127,,97425,,,251416,169759,,,
Jun-92,1.62,1.77,,,2.17,,,3,6.84,4.72,,,1799501,,,,,246283,23435,14800,1514984,70593,,162249,,,17812,,,7896252,6202810,4050132,2152679,366293,43358,-322935,,95038,,,162378,124881,,,
Jul-92,1.55,1.7,,,2.16,,,3.01,7.27,4.64,,,1841528,,,,,237796,24167,15863,1563702,72863,,167216,,,15868,,,7917074,6524180,4064377,2459804,356854,50093,-306761,,97586,,,131801,122339,,,
Aug-92,1.84,1.83,,,2.31,,,3.18,7.45,4.73,,,1798984,,,,,237441,24151,15109,1522282,70933,,174733,,,18229,,,7917074,6822936,4061726,2761211,363813,54388,-309424,,95201,,,125580,121186,,,
Sep-92,1.92,1.96,,,2.36,,,3.23,7.15,4.69,,,1786200,,,,,242387,21051,15102,1507660,70252,,166117,,,18136,,,7917074,7104964,4060894,3044070,346102,48310,-297793,,94431,,,137106,120899,,,
Oct-92,2.38,2.22,,,2.65,,,3.5,6.52,4.9,,,1898912,,,,,253353,24523,13468,1607569,74907,,176466,,,19272,,,7931513,7288033,4064816,3223217,264171,78352,-185819,,100507,,,240662,166151,,,
Nov-92,2.13,1.96,,,2.52,,,3.33,6.02,5.12,,,1871098,,,,,246231,23394,13922,1587552,73974,,210479,,,18527,,,7931513,7114518,4060665,3053853,94981,276181,181199,,99122,,,436771,255758,,,
Dec-92,2.07,2.13,,,2.49,,,3.17,5.74,5.11,,,1955878,,,,,262634,23742,13832,1655671,77148,,209426,,,18724,,,7933967,6640542,4043744,2596797,65382,556751,491369,,103519,,,717170,380772,,,
Jan-93,2.03,2.07,,,2.44,,,3.11,5.73,5.23,,,1965166,1452098,513068,,,263515,35169,18757,1647725,76949,,200070,,,16661,,,7933967,6085037,4258528,1826510,36692,592014,555322,,101491,,,830874,415438,,,
Feb-93,1.76,1.89,,,2.45,,,2.94,5.73,5.14,,,1767708,1305490,462218,,,236292,31140,19453,1480823,69154,,190711,,,12323,,,7934228,5533344,4230624,1302720,22020,569094,547074,,91261,,,768365,403019,,,
Mar-93,2,1.94,,,2.46,,,3.06,5.67,5.1,,,1943064,1420719,522345,,,264052,34905,17977,1626129,75940,,204415,,,16229,,,7929728,5232728,4203914,1028814,79017,382947,303931,,100277,,,703183,370788,,,
Apr-93,2.06,2.03,,,2.58,,,3.24,6.02,5.19,,,1842904,1349960,492944,,,248158,33451,19009,1542286,72025,,188666,,,11287,,,7974893,5339555,4219170,1120385,212059,103050,-109009,,95107,,,449738,254393,,,
May-93,2.18,2.17,,,2.63,,,3.58,6.78,5.31,,,1878769,1374045,504724,,,256197,34566,20021,1567985,73225,,171307,,,11324,,,7974893,5764643,4243715,1520927,456000,29945,-426054,,96856,,,232154,152402,,,
Jun-93,1.98,1.98,,,2.31,,,3.44,7.37,5.4,,,1794868,1316448,478420,,,230180,27411,22107,1515170,70758,,182364,,,10554,,,7974893,6151310,4256782,1894528,410193,35828,-374365,,92938,,,163642,123135,,,
Jul-93,1.99,1.92,,,2.55,,,3.34,7.86,5.15,,,1850299,1374565,475734,,,247098,36090,19512,1547598,72273,,194581,,,12691,,,7975643,6496755,4256419,2240336,385078,34909,-350169,,95468,,,129719,119050,,,
Aug-93,2.04,1.97,,,2.68,,,3.35,8.13,5.34,,,1871405,1374824,496581,,,252290,36960,15803,1566351,73149,,197322,,,10623,,,7978632,6817410,4263251,2554159,363861,45282,-318579,,96583,,,120331,111340,,,
Sep-93,2.09,2.09,,,2.78,,,3.54,7.75,5.35,,,1832337,1352121,480216,,,243702,34646,18378,1535610,71713,,194027,,,9919,,,7979132,7139510,4255631,2883878,378308,25604,-352704,,94613,,,141580,119631,,,
Oct-93,2.02,1.93,,,2.52,,,3.15,6.79,5.18,,,1950320,1424561,525759,,,274045,36482,19266,1620526,75679,,192222,,,8646,,,7987416,7292479,4314508,2977971,256493,103065,-153428,,100375,,,254494,168895,,,
Nov-93,2.03,2.07,,,2.83,,,3.15,6.17,5.21,,,1965775,1435581,530194,,,286664,36454,17369,1625288,75901,,209619,,,9526,,,7985156,7088220,4325991,2762230,106322,303034,196712,,100979,,,457330,260158,,,
Dec-93,2.15,2.27,,,3.01,,,3.27,6.07,5.33,,,2063028,1510727,552302,,,300820,36697,19089,1706422,79690,,224811,,,10399,,,7988856,6649086,4327306,2321780,53696,492292,438597,,105992,,,705034,363319,,,
Jan-94,1.93,2.11,,,2.71,,,3.04,5.93,5.5,,,2022627,1487815,534812,,,276959,35670,19228,1690770,76219,,240895,,,11097,,,7990852,5927088,4347706,1579382,34566,792280,757714,,96391,,,952520,475911,,,
Feb-94,1.88,2.24,,,2.74,,,3.26,6.04,5.58,,,1815466,1341637,473830,,,248597,32331,19470,1515069,68299,,198661,,,12898,,,8028112,5427691,4337097,1090594,49734,567118,517384,,86464,,,841815,435978,,,
Mar-94,1.93,2.21,,,2.74,,,3.33,6.3,5.67,,,2028595,1489504,539091,,,277907,35461,19042,1696185,76464,,222858,,,19156,,,8028112,5300726,4342869,957857,105507,240181,134674,,96684,,,630616,348766,,,
Apr-94,1.91,1.96,,,2.45,,,3.15,6.6,5.6,,,1924133,1422603,501530,,,259038,34741,18367,1611987,72668,,211749,,,8959,,,8028321,5516706,4344856,1171850,285753,67836,-217918,,91773,,,392153,236771,,,
May-94,2,1.94,,,2.47,,,3.17,6.84,5.47,,,1983962,1466838,517124,,,263758,33407,18270,1668527,75217,,206131,,,8462,,,8028321,5906027,4351658,1554369,427442,24762,-402680,,94765,,,246872,163049,,,
Jun-94,1.8,1.77,,,2.52,,,3.17,7.66,5.37,,,1881268,1394919,486349,,,240031,27926,21125,1592186,71775,,200582,,,12596,,,8028321,6248132,4351712,1896420,381023,37106,-343917,,90075,,,154411,132096,,,
Jul-94,1.81,1.82,,,2.65,,,3.12,8.1,5.25,,,1942942,1449773,493169,,,240793,33470,19132,1649547,74361,,221166,,,10647,,,8034321,6628655,4355208,2273447,410433,26044,-384389,,93139,,,126805,129282,,,
Aug-94,1.83,1.76,,,2.42,,,3.15,8.22,5.31,,,1970795,1457931,512864,,,261297,34679,18154,1656664,74682,,218879,,,13801,,,8042821,6961419,4354832,2606586,372511,29763,-342748,,94119,,,121952,120768,,,
Sep-94,1.78,1.66,,,2.37,,,2.92,7.84,5.36,,,1877710,1379647,498064,,,250453,34922,19517,1572818,70902,,209996,,,14236,,,8042766,7265525,4353439,2912086,345487,21317,-324170,,89553,,,130370,117432,,,
Oct-94,1.7,1.54,,,2.38,,,2.8,6.86,5.11,,,1981888,1437632,544256,,,292221,36945,19043,1633678,73646,,221627,,,12805,,,8042766,7429148,4354300,3074847,224188,53932,-170256,,93954,,,220553,159507,,,
Nov-94,1.75,1.71,,,2.21,,,2.84,6.27,5.19,,,2035684,1482072,553612,,,302160,35875,18073,1679577,75715,,225819,,,19384,,,8042766,7331015,4353334,2977681,105304,204406,99102,,96538,,,391460,235500,,,
